Lake_ID,Lake Name,Total Count,Watershed Area (Sqmi),Watershed Area (Ha),Open Water,Developed Open Space,Developed Low Intensity,Developed Medium Intensity,Developed High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Scrub/Shrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetland,,Lake Watershed,Agriculture,Forest,Residential,Urban,SUM
0602PLY0107,Plymouth Reservoir,3010,1.05,270.9,12.90%,2.70%,0.60%,0.00%,0.00%,0.60%,31.10%,4.00%,9.20%,31.20%,1.00%,0.00%,0.00%,6.60%,0.20%,,19.70%,0.00%,77.00%,3.30%,0.00%,100.00%
,Port Bay,,0,0,,,,,,,,,,,,,,,,,,,,,,
1302PUT0093B,Putnam Lake,7744,2.69,696.97,13.10%,42.20%,9.90%,1.10%,0.00%,0.00%,28.80%,1.90%,1.10%,0.10%,0.00%,0.20%,0.00%,1.50%,0.00%,,14.60%,0.20%,31.90%,53.20%,0.00%,100.00%
1310QUE0057,Queechy Lake,4408,1.53,396.72,15.70%,5.00%,2.60%,0.50%,0.30%,0.00%,39.70%,14.40%,15.40%,0.30%,0.10%,3.40%,0.20%,1.90%,0.30%,,17.90%,3.60%,70.00%,8.20%,0.30%,100.00%
0903RAQ0293,Raquette Lake,,0,0,97.43,0.05,0.00,0.00,0.00,0.00,0.26,1.15,0.16,0.03,0.34,0.00,0.00,0.54,0.04,,98.01500337,0,1.930209036,0.054787592,0,100
,Roaring Brook Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
1308ROB0902,Robinson Pond,97117,33.75,8740.59,1.00%,4.80%,1.60%,0.30%,0.00%,0.00%,46.10%,5.30%,3.30%,1.50%,0.20%,25.80%,4.90%,3.80%,1.40%,,6.10%,30.60%,56.50%,6.70%,0.00%,100.00%
0801RON0739,Rondaxe Pond,158430,55.05,14258.8,9.70%,0.30%,0.00%,0.00%,0.00%,0.00%,41.50%,23.30%,14.90%,6.40%,0.00%,0.00%,0.00%,3.20%,0.70%,,13.60%,0.00%,86.20%,0.30%,0.00%,100.00%
,Round Lake (Orange),,0,0,,,,,,,,,,,,,,,,,,,,,,
1310ROU0080,Round Pond,1884,0.65,169.56,5.00%,1.60%,0.00%,0.00%,0.00%,0.00%,17.90%,2.70%,60.90%,3.10%,0.50%,0.80%,0.00%,7.10%,0.40%,,12.50%,0.80%,85.10%,1.60%,0.00%,100.00%
0403RUS0146,Rushford Lake,175657,61.04,15809.24,1.50%,2.20%,0.20%,0.00%,0.00%,0.00%,54.50%,6.60%,4.70%,1.90%,0.40%,17.00%,10.50%,0.40%,0.10%,,2.00%,27.50%,68.20%,2.40%,0.00%,100.00%
1104SAC0314,Sacandaga Lake,58680,20.39,5281.24,15.10%,2.30%,0.10%,0.00%,0.00%,0.00%,54.90%,12.60%,8.90%,2.00%,0.00%,0.00%,0.10%,2.80%,1.10%,,19.00%,0.10%,78.50%,2.40%,0.00%,100.00%
1302SAG0076J,Sagamore Lake,17144,5.96,1542.97,2.60%,8.20%,0.10%,0.30%,0.00%,0.00%,68.90%,5.70%,1.00%,1.40%,0.00%,1.70%,0.00%,9.70%,0.20%,,12.50%,1.70%,77.10%,8.60%,0.00%,100.00%
1101SAR0027,Saratoga Lake,622819,216.42,56054.11,3.20%,8.90%,4.80%,1.60%,0.60%,0.20%,21.80%,18.50%,9.20%,0.40%,0.10%,5.40%,6.10%,18.70%,0.60%,,22.50%,11.50%,50.20%,15.30%,0.60%,100.00%
1104SCH0374,Schroon Lake-N,908252,315.61,81743.27,5.20%,1.80%,0.60%,0.10%,0.00%,0.10%,30.30%,41.00%,15.80%,0.50%,0.10%,0.00%,0.10%,4.20%,0.20%,,9.60%,0.10%,87.80%,2.50%,0.00%,100.00%
1104SCH0374,Schroon Lake-S,908252,315.61,81743.27,5.20%,1.80%,0.60%,0.10%,0.00%,0.10%,30.30%,41.00%,15.80%,0.50%,0.10%,0.00%,0.10%,4.20%,0.20%,,9.60%,0.10%,87.80%,2.50%,0.00%,100.00%
0705SEN0369,Seneca Lake-13,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake-11,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake-12,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake-14,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake-16,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake-17,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake - S1,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake - S2,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake - S3,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
0705SEN0369,Seneca Lake - S4,2049328,712.13,184440.84,12.20%,4.80%,1.10%,0.40%,0.10%,0.10%,21.00%,2.10%,8.30%,6.20%,0.50%,23.90%,16.20%,2.60%,0.60%,,15.40%,40.10%,38.10%,6.30%,0.10%,100.00%
1301SEP0826,Sepasco Lake,2332,0.81,209.88,3.90%,4.20%,1.30%,0.00%,0.00%,0.00%,65.00%,6.40%,0.00%,0.80%,0.10%,15.10%,0.30%,1.40%,1.60%,,6.90%,15.40%,72.30%,5.40%,0.00%,100.00%
1302SEV0077C,Seven Hills Lake,,0,0,6.24%,6.39%,1.86%,0.39%,0.02%,0.24%,74.29%,0.31%,2.44%,0.07%,0.34%,1.09%,0.01%,6.21%,0.10%,,12.55%,1.10%,77.70%,8.63%,0.02%,100.00%
1302SHA0128J,Shadow Lake,219,0.08,19.71,8.70%,20.10%,0.00%,2.30%,0.00%,0.00%,50.70%,11.00%,0.00%,4.60%,0.00%,0.00%,0.00%,0.00%,2.70%,,11.40%,0.00%,66.20%,22.40%,0.00%,100.00%
1301SHA0424,Shaver Pond,808,0.28,72.72,8.00%,10.60%,4.10%,0.00%,0.00%,0.00%,50.10%,11.00%,0.70%,0.00%,0.50%,10.60%,2.50%,1.70%,0.00%,,9.80%,13.10%,62.40%,14.70%,0.00%,100.00%
1306SHA0491,Shawangunk Lake,1355,0.47,121.95,18.20%,7.20%,0.00%,0.00%,0.00%,0.00%,28.60%,2.40%,11.20%,0.00%,0.00%,26.00%,0.00%,6.40%,0.00%,,24.60%,26.00%,42.20%,7.20%,0.00%,100.00%
1302SHE0050A,Shenorock Lake,3066,1.07,275.94,1.70%,42.70%,21.60%,7.20%,1.90%,0.00%,20.50%,0.00%,0.80%,0.20%,0.00%,2.40%,0.00%,1.20%,0.00%,,2.90%,2.40%,21.40%,71.40%,1.90%,100.00%
1003SIL0073,Silver Lake (Clinton),15675,5.45,1410.76,23.50%,2.80%,0.00%,0.00%,0.00%,0.00%,44.40%,17.50%,8.70%,1.10%,0.30%,0.00%,0.20%,1.40%,0.20%,,25.00%,0.20%,71.90%,2.90%,0.00%,100.00%
0904SIL0351,Silver Lake (St. Lawrence),1766,0.61,158.94,32.70%,3.00%,0.00%,0.40%,0.00%,0.00%,48.60%,7.00%,3.50%,0.30%,0.60%,0.00%,0.00%,3.70%,0.20%,,36.60%,0.00%,60.00%,3.40%,0.00%,100.00%
0403SIL0115,Silver Lake (Wyoming),49828,17.31,4484.55,7.90%,5.90%,1.10%,0.10%,0.00%,0.00%,9.40%,0.20%,1.30%,1.10%,0.20%,31.60%,30.70%,8.00%,2.70%,,18.50%,62.30%,12.10%,7.10%,0.00%,100.00%
0906SIX0056,Sixberry Lake,3423,1.19,308.07,17.60%,0.80%,0.60%,0.00%,0.00%,0.00%,30.40%,25.80%,2.70%,1.70%,5.20%,4.10%,0.80%,10.20%,0.00%,,27.80%,5.00%,65.80%,1.40%,0.00%,100.00%
0707SKA0193,Skaneateles Lake,209513,72.8,18856.31,19.10%,4.50%,0.70%,0.10%,0.00%,0.00%,24.60%,3.50%,2.90%,5.60%,0.30%,17.70%,18.10%,2.50%,0.20%,,21.90%,35.80%,36.90%,5.30%,0.00%,100.00%
0707SKA0193,Skaneateles Lake - S1,209513,72.8,18856.31,19.10%,4.50%,0.70%,0.10%,0.00%,0.00%,24.60%,3.50%,2.90%,5.60%,0.30%,17.70%,18.10%,2.50%,0.20%,,21.90%,35.80%,36.90%,5.30%,0.00%,100.00%
0707SKA0193,Skaneateles Lake - S2,209513,72.8,18856.31,19.10%,4.50%,0.70%,0.10%,0.00%,0.00%,24.60%,3.50%,2.90%,5.60%,0.30%,17.70%,18.10%,2.50%,0.20%,,21.90%,35.80%,36.90%,5.30%,0.00%,100.00%
1301SLE6666,Sleepy Hollow Lake,38315,13.31,3448.37,4.50%,11.30%,2.10%,1.10%,0.40%,0.00%,20.20%,5.80%,6.80%,1.30%,0.10%,24.30%,13.10%,9.00%,0.00%,,13.50%,37.40%,34.20%,14.50%,0.40%,100.00%
0502SMI0066,Smith Pond,3037,1.06,273.33,6.70%,5.30%,0.00%,0.00%,0.00%,0.00%,9.00%,2.30%,8.60%,0.70%,0.00%,32.40%,27.20%,7.50%,0.30%,,14.50%,59.60%,20.50%,5.30%,0.00%,100.00%
1301SNY0377,Snyders Lake,3765,1.31,338.85,13.70%,9.60%,9.60%,6.50%,0.00%,0.00%,29.10%,2.00%,4.60%,2.10%,0.80%,18.20%,1.60%,1.90%,0.30%,,15.80%,19.80%,38.70%,25.70%,0.00%,100.00%
0302SOD0096,Sodus Bay,149830,52.06,13484.8,9.60%,5.70%,0.70%,0.30%,0.10%,0.10%,25.30%,1.00%,8.10%,1.70%,0.10%,27.30%,10.80%,7.90%,1.40%,,18.90%,38.10%,36.20%,6.70%,0.10%,100.00%
1401SOM0268,Somerset Lake,1348,0.47,121.32,16.30%,5.30%,0.00%,0.00%,0.00%,0.00%,50.70%,4.70%,13.40%,0.40%,0.00%,8.70%,0.00%,0.40%,0.00%,,16.70%,8.70%,69.30%,5.30%,0.00%,100.00%
0602SON0072,Song Lake,3591,1.25,323.19,13.80%,2.60%,0.20%,0.00%,0.00%,0.00%,41.70%,2.40%,1.90%,8.40%,0.60%,11.80%,14.30%,1.80%,0.50%,,16.10%,26.10%,55.00%,2.80%,0.00%,100.00%
0902SPI0264,Spitfire Lake,23292,8.09,2096.3,24.60%,1.40%,0.00%,0.00%,0.00%,0.00%,46.50%,19.90%,3.90%,1.20%,0.00%,0.00%,0.00%,0.90%,1.60%,,27.10%,0.00%,71.50%,1.40%,0.00%,100.00%
1310SPR0081,Spring Lake,573,0.2,51.57,18.50%,6.80%,0.00%,0.00%,0.00%,0.00%,10.10%,6.80%,52.20%,1.90%,0.00%,0.00%,0.00%,3.70%,0.00%,,22.20%,0.00%,71.00%,6.80%,0.00%,100.00%
0905STA0281,Star Lake,2877,1,258.93,37.90%,5.90%,1.70%,2.10%,0.00%,0.00%,47.20%,1.10%,1.30%,1.80%,0.00%,0.80%,0.00%,0.10%,0.00%,,38.00%,0.80%,51.50%,9.70%,0.00%,100.00%
1201LIL0716,Stewarts Landing,119263,41.44,10733.75,7.70%,1.20%,0.10%,0.00%,0.00%,0.00%,53.90%,7.80%,15.80%,2.80%,0.10%,0.00%,0.00%,9.40%,1.10%,,18.20%,0.00%,80.50%,1.30%,0.00%,100.00%
1305STI0409,Stissing Lake,6521,2.27,586.89,7.50%,10.30%,7.60%,2.90%,0.40%,0.00%,38.30%,2.30%,0.70%,5.40%,0.00%,10.20%,6.00%,6.50%,1.90%,,15.90%,16.20%,46.70%,20.80%,0.40%,100.00%
1301UWB5186,Sugar Pond,388,0.13,34.92,0.00%,42.30%,4.60%,1.50%,0.00%,0.00%,51.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,51.50%,48.50%,0.00%,100.00%
1202SUM0629,Summit Lake,1237,0.43,111.33,16.70%,10.80%,0.60%,0.40%,0.00%,0.00%,50.80%,10.80%,1.20%,0.00%,0.00%,8.00%,0.00%,0.60%,0.00%,,17.40%,8.00%,62.80%,11.80%,0.00%,100.00%
1103SUM0080,Summit Lake (Washington),1374,0.48,123.66,25.90%,7.80%,1.90%,0.00%,0.00%,0.00%,54.40%,3.20%,0.70%,0.60%,0.00%,5.50%,0.00%,0.00%,0.00%,,25.90%,5.50%,58.90%,9.70%,0.00%,100.00%
1005SUN0440,Sunnyside Lake,348,0.12,31.32,49.40%,22.10%,11.50%,0.00%,0.00%,0.00%,8.30%,6.90%,1.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,49.40%,0.00%,17.00%,33.60%,0.00%,100.00%
1102TAC1129,Taconic Lake,1471,0.51,132.39,9.60%,2.60%,0.00%,0.00%,0.00%,0.00%,45.90%,5.30%,31.70%,0.50%,0.00%,0.00%,0.00%,4.40%,0.00%,,14.00%,0.00%,83.40%,2.60%,0.00%,100.00%
,Tanglewood Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
1302UWB0128A,Teatown Lake,3839,1.33,345.51,4.90%,10.70%,0.30%,0.40%,0.00%,0.00%,65.30%,10.40%,1.30%,1.20%,0.00%,0.80%,0.00%,3.90%,0.90%,,9.60%,0.80%,78.10%,11.40%,0.00%,100.00%
,Thompsons Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
0602TRU5405,Thunder Lake,,0,0,11.68%,10.59%,0.16%,0.00%,0.00%,0.00%,12.46%,12.31%,32.87%,0.00%,0.62%,19.31%,0.00%,0.00%,0.00%,,11.68%,19.31%,58.26%,10.75%,0.00%,100.00%
1302UWB0044H,Timber Lake (Westchester),956,0.33,86.04,3.10%,21.90%,0.00%,0.00%,0.00%,0.00%,66.30%,2.50%,0.00%,4.10%,0.00%,0.30%,0.00%,1.00%,0.70%,,4.90%,0.30%,72.90%,21.90%,0.00%,100.00%
1403UWB0294B,Timber Lake (Sullivan),752,0.26,67.68,8.20%,0.00%,0.00%,0.00%,0.00%,0.00%,74.20%,0.00%,3.30%,0.30%,0.00%,12.60%,1.30%,0.00%,0.00%,,8.20%,14.00%,77.80%,0.00%,0.00%,100.00%
,Tomkins Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
0602TUL0068,Tully Lake,43557,15.14,3920.16,5.80%,6.10%,1.70%,0.80%,0.30%,0.00%,29.30%,2.40%,1.70%,7.10%,0.40%,21.70%,14.90%,5.90%,1.70%,,13.40%,36.60%,41.00%,8.60%,0.30%,100.00%
0703TUS0153A,Tuscarora Lake,15511,5.39,1396,9.40%,3.30%,0.30%,0.10%,0.00%,0.00%,38.60%,12.20%,6.40%,5.80%,0.00%,13.00%,7.30%,3.00%,0.50%,,12.90%,20.30%,63.00%,3.70%,0.00%,100.00%
1501TUX1007,Tuxedo Lake,9145,3.18,823.06,14.20%,8.00%,0.10%,0.00%,0.00%,0.00%,69.90%,2.70%,1.20%,0.10%,0.20%,0.20%,0.00%,3.30%,0.00%,,17.50%,0.20%,74.20%,8.10%,0.00%,100.00%
0801TWI0584,Twitchell Lake,8454,2.94,760.87,12.10%,0.00%,0.00%,0.00%,0.00%,0.00%,56.30%,18.70%,9.50%,2.40%,0.00%,0.00%,0.00%,0.10%,0.80%,,13.00%,0.00%,87.00%,0.00%,0.00%,100.00%
1306ULS0799,Ulster Heights Lake,57874,20.11,5208.7,2.40%,2.70%,0.20%,0.10%,0.00%,0.10%,38.70%,19.60%,18.30%,0.10%,0.30%,5.90%,0.30%,10.90%,0.40%,,13.70%,6.10%,77.20%,2.90%,0.00%,100.00%
1306UWB0464B,Unnamed Wallkill Pond,635,0.22,57.15,3.50%,3.30%,0.00%,0.00%,0.00%,0.00%,30.40%,0.00%,8.30%,0.00%,0.00%,46.50%,0.00%,8.00%,0.00%,,11.50%,46.50%,38.70%,3.30%,0.00%,100.00%
0902UCH0002,Upper Chataugay Lake,237558,82.55,21380.37,5.60%,1.20%,0.10%,0.10%,0.00%,0.30%,52.40%,20.70%,9.10%,3.90%,0.30%,0.10%,0.00%,5.60%,0.50%,,11.70%,0.10%,86.70%,1.40%,0.00%,100.00%
0602ULI0067,Upper Little York Lake,95224,33.09,8570.22,3.60%,5.60%,1.60%,0.50%,0.20%,0.00%,35.30%,3.30%,2.90%,5.10%,0.30%,17.00%,18.60%,4.70%,1.20%,,9.60%,35.60%,46.90%,7.70%,0.20%,100.00%
1003USA0114,Upper Saranac Lake-North,218380,75.89,19654.34,23.50%,1.80%,0.10%,0.10%,0.00%,0.00%,33.20%,31.80%,5.70%,2.00%,0.20%,0.00%,0.00%,1.20%,0.30%,,25.00%,0.00%,73.00%,1.90%,0.00%,100.00%
1003USA0114,Upper Saranac Lake-South,218380,75.89,19654.34,23.50%,1.80%,0.10%,0.10%,0.00%,0.00%,33.20%,31.80%,5.70%,2.00%,0.20%,0.00%,0.00%,1.20%,0.30%,,25.00%,0.00%,73.00%,1.90%,0.00%,100.00%
0902USA0265,Upper St. Regis Lake,20037,6.96,1803.34,22.30%,1.60%,0.00%,0.00%,0.00%,0.00%,48.10%,20.10%,3.80%,1.30%,0.00%,0.00%,0.00%,1.00%,1.90%,,25.10%,0.00%,73.20%,1.60%,0.00%,100.00%
1301WAL0165,Wallace Pond,11136,3.87,1002.25,0.90%,14.90%,1.70%,1.30%,0.20%,0.00%,71.70%,3.80%,0.40%,0.30%,0.00%,2.30%,0.00%,2.00%,0.50%,,3.50%,2.30%,76.20%,17.90%,0.20%,100.00%
1501WEE1005,We Wah Lake,23742,8.25,2136.8,6.90%,6.30%,0.10%,0.00%,0.00%,0.00%,76.20%,1.10%,1.20%,0.30%,0.80%,0.10%,0.00%,6.80%,0.20%,,13.90%,0.10%,79.60%,6.40%,0.00%,100.00%
1401STU0245,Weiden Pond,35115,12.2,3160.37,1.10%,1.10%,0.00%,0.00%,0.00%,0.00%,32.40%,17.00%,40.40%,0.20%,0.10%,3.30%,0.10%,4.30%,0.10%,,5.50%,3.40%,90.10%,1.10%,0.00%,100.00%
1201WCA0698,West Caroga Lake,16476,5.73,1482.85,8.90%,4.30%,0.90%,0.20%,0.00%,0.00%,45.00%,11.90%,14.70%,2.30%,0.40%,0.40%,0.00%,10.30%,0.90%,,20.00%,0.40%,74.20%,5.40%,0.00%,100.00%
1304WHA0353,Whaley Lake,11835,4.11,1065.16,12.60%,4.10%,1.10%,0.10%,0.00%,0.00%,68.40%,5.50%,2.50%,0.90%,0.00%,0.80%,0.00%,2.60%,1.30%,,16.60%,0.80%,77.30%,5.30%,0.00%,100.00%
0601WHI5191,White Birch Lake,1971,0.68,177.39,6.70%,4.90%,0.00%,0.00%,0.00%,0.00%,42.30%,10.10%,21.60%,0.30%,0.00%,13.30%,0.00%,0.00%,0.90%,,7.60%,13.30%,74.20%,4.90%,0.00%,100.00%
1104WIN0529A,Windover Lake,22438,7.8,2019.43,1.20%,2.60%,0.10%,0.00%,0.00%,0.00%,62.80%,20.50%,9.40%,0.20%,0.10%,0.00%,0.10%,2.00%,0.90%,,4.20%,0.10%,93.00%,2.70%,0.00%,100.00%
1402WOL0037,Wolf Lake,5899,2.05,530.91,25.00%,0.30%,0.00%,0.00%,0.00%,0.00%,55.00%,1.70%,17.40%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,,25.60%,0.00%,74.10%,0.30%,0.00%,100.00%
1402YAN0021,Yankee Lake,9815,3.41,883.36,18.00%,5.80%,1.30%,0.30%,0.00%,0.20%,45.30%,1.70%,26.10%,0.00%,0.00%,0.10%,0.00%,1.20%,0.10%,,19.30%,0.10%,73.30%,7.30%,0.00%,100.00%
